DateTime,AddedIPs,RemovedIPs
1500639902,16,12
1500640205,1,0
1500643206,12,3
1500647293,8,5
1500650154,7,6
1500653703,5,12
1500656404,2304,35072
1500657902,5,12
1500659702,2048,1792
1500661202,8,7
1500662102,256,256
1500664807,10,10
1500668403,17,8
1500671709,11,1
1500675903,3,5
1500676802,256,256
1500679206,0,4
1500681619,0,4
1500682521,22,7
1500683406,1,0
1500684306,256,256
1500684966,256,256
1500685215,2048,1536
1500686103,3,2
1500688202,256,256
1500690302,3,7
1500693610,2,21
1500696303,1,0
1500696903,11,11
1500700507,5,2
1500701702,256,256
1500704702,5,17
1500708005,2,3
1500711319,14,25
1500712802,0,2
1500713106,5,0
1500714939,12,18
1500719102,13,7
1500722406,11,6
1500725705,12,28
1500729313,22,9
1500732912,13,12
1500735901,0,2
1500736202,2,0
1500736802,20,4
1500738902,1535,1536
1500740108,11,7
1500743102,0,17664
1500743767,0,2
1500744003,6,4
1500747847,5,6
1500750935,8,7
1500755102,6,17
1500758406,2,7
1500762003,5,10
1500765367,31,3
1500768002,0,4
1500768905,1,1
1500769211,25,2
1500772506,1,1
1500773046,4,9
1500776888,4,8
1500779768,1,1
1500782103,14,24
1500783306,1,1
1500783902,0,2
1500784202,6,0
1500787450,1,3
1500791102,1,3
1500794407,4,9
1500797717,7,22
1500802090,6,6
1500805502,23,2
1500806402,2,0
1500808808,7,1
1500812654,2,3
1500815705,0,1
1500816002,2,7
1500819602,4,9
1500823453,3,13
1500825370,2048,2048
1500826803,1,9
1500828307,256,256
1500829207,256,5120
1500830403,18,23
1500834006,13,9
1500837602,7,3
1500838084,2,0
1500838502,0,2
1500839106,2,0
1500841202,23,1
1500844808,5,6
1500848107,8,2
1500850567,512,512
1500852490,2,1
1500852627,256,256
1500854402,0,2
1500855408,19,2
1500856226,256,256
1500859208,1,3
1500863286,1,1
1500866702,2,35
1500870006,5,25
1500873306,1,0
1500873847,15,40
1500877203,12,9
1500880568,1,0
1500881102,17,21
1500884406,15,8
1500886327,1,0
1500888488,10,4
1500891603,38,3
1500895207,10,16
1500897302,1536,1791
1500899287,1,12
1500900310,256,0
1500900902,256,256
1500902402,4,9
1500904329,256,256
1500905708,1,0
1500906488,9,26
1500907507,512,512
1500909608,13,15
1500911527,256,512
1500911702,256,256
1500912914,33,5
1500914706,256,256
1500915372,1,0
1500915602,0,1280
1500916802,9,7
1500918310,256,256
1500918649,511,512
1500920172,13,8
1500922086,0,1
1500922503,256,256
1500924007,2,8
1500926102,506,3328
1500927844,9,18
1500929766,512,256
1500930908,13,4
1500934566,2,33
1500935421,256,256
1500936903,256,256
1500938408,14,11
1500938702,1,1
1500941102,0,3
1500942485,33,10
1500943505,256,258
1500943802,2,0
1500945902,43,12
1500948904,1,5
1500951303,0,2
1500951602,2,0
1500953102,7,29
1500956702,12,6
1500960302,6,16
1500963845,10,1
1500967202,7,14
1500971043,10,25
1500974407,16,11
1500975909,0,1
1500978002,5,12
1500982330,39,6
1500984906,3,7
1500989102,6,13
1500992702,6,7
1500996013,13,19
1500996902,1,0
1500997926,1,0
1500999845,8,6
1501002002,256,9472
1501002936,4,6
1501004707,1,0
1501005302,2304,2304
1501006803,11,7
1501008902,256,256
1501010406,2,8
1501011907,256,256
1501012502,256,256
1501014002,10,11
1501016164,256,256
1501017309,21,2
1501021203,8,9
1501024510,9,0
1501027221,0,5
1501028403,15,4
1501029017,256,256
1501032008,5,7
1501036090,9,6
1501039502,4,35
1501040890,0,1
1501042808,7,14
1501044902,256,256
1501046651,11,5
1501047905,0,1
1501049709,5,14
1501050626,256,256
1501051507,1,1
1501052702,1,0
1501053610,11,7
1501055530,1,1
1501055702,256,256
1501056302,1,0
1501057686,13,35
1501061423,38,13
1501064412,24,6
1501064702,2,0
1501066332,2,0
1501068246,4,8
1501069509,2,0
1501071317,7,6
1501073109,0,1
1501074908,6,4
1501076167,1,0
1501077001,1280,1280
1501079102,4,5
1501082702,3,5
1501086007,6,15
1501088102,256,256
1501088702,2048,44032
1501089338,9,11
1501093502,5,19
1501094889,256,256
1501095302,256,256
1501096805,14,6
1501097402,0,2
1501097702,2,0
1501098902,256,256
1501100891,15,4
1501101906,1,0
1501104002,8,20
1501107608,12,13
1501112102,17,5
1501112885,256,256
1501113621,0,7
1501114810,22,18
1501116307,1,1
1501118123,7,13
1501122489,17,12
1501125602,7,40
1501129211,20,5
1501133048,20,10
1501136892,13,6
1501139767,6,11
1501141689,1,2
1501143607,15,7
1501147686,6,11
1501151102,8,8
1501151524,0,1
1501154410,5,11
1501158263,9,31
1501161602,4,6
1501165502,28,14
1501167302,1536,1792
1501169045,16,4
1501170966,512,512
1501172402,11,11
1501173602,256,256
1501174202,256,256
1501174203,196608,36608
1501176618,259,259
1501179607,6,7
1501180218,512,256
1501181702,256,256
1501182906,12,4
1501187102,6,12
1501190410,11,4
1501192328,256,256
1501194491,4,11
